=== Hoogland et al. Replication (self-contained) ===
2L attn-only, d=256, 8 heads, softmax, no QK norm
Data: DSIR-filtered Pile (streaming), GPT-2 tokenizer, vocab=5000
Batch: 64, n_ctx: 1024, tokens/step: 65,536
Max steps: 76,293 (5.0B tokens)
Pile val cache exists at /workspace/tensor-mars/workspaces/logan/cached_tokens/dsir_pile_val.pt
Model parameters: 3,086,848 (compiled)
Induction test: 100 seqs, half_len=512, vocab=5000
Token indices sequence length is longer than the specified maximum sequence length for this model (1287 > 1024). Running this sequence through the model will result in indexing errors
  step 30600/76293  loss=5.1916  tokens=2.005B  elapsed=4213s
  step 30700/76293  loss=5.3995  tokens=2.012B  elapsed=4228s
  step 30800/76293  loss=5.1539  tokens=2.019B  elapsed=4242s
  step 30900/76293  loss=5.1931  tokens=2.025B  elapsed=4258s
  step 31000/76293  loss=5.2185  tokens=2.032B  elapsed=4273s
  step 31100/76293  loss=5.2139  tokens=2.038B  elapsed=4286s
  step 31200/76293  loss=5.0581  tokens=2.045B  elapsed=4301s
  step 31300/76293  loss=5.1984  tokens=2.051B  elapsed=4317s
  step 31400/76293  loss=5.1873  tokens=2.058B  elapsed=4329s
  step 31500/76293  loss=5.1918  tokens=2.064B  elapsed=4346s
  step 31600/76293  loss=5.1832  tokens=2.071B  elapsed=4361s
  step 31700/76293  loss=5.1552  tokens=2.077B  elapsed=4377s
  step 31800/76293  loss=5.1241  tokens=2.084B  elapsed=4392s
  step 31900/76293  loss=5.1922  tokens=2.091B  elapsed=4408s
  step 32000/76293  loss=5.1545  tokens=2.097B  elapsed=4421s
  step 32100/76293  loss=5.1907  tokens=2.104B  elapsed=4435s
  step 32200/76293  loss=5.1226  tokens=2.110B  elapsed=4450s
  step 32300/76293  loss=5.2240  tokens=2.117B  elapsed=4465s
  step 32400/76293  loss=5.1622  tokens=2.123B  elapsed=4482s
  step 32500/76293  loss=5.2462  tokens=2.130B  elapsed=4501s

  [step 32500, 2.13B tokens] induction_score=-0.0076 1st=10.1586 2nd=10.1663 toy_acc=0.000235 (0.0235%)
  step 32600/76293  loss=5.1929  tokens=2.136B  elapsed=4517s
