=== Hoogland Variant: ctx=512, d=512 (wider + shorter) ===
2L attn-only, d=512, 16 heads (d_head=32), softmax, no QK norm
Data: DSIR-filtered Pile (streaming), GPT-2 tokenizer, vocab=5000
Batch: 96, n_ctx: 512, tokens/step: 49,152
Max steps: 101,725 (5.0B tokens)
Pile val cache exists at /workspace/tensor-mars/workspaces/logan/cached_tokens/dsir_pile_val_ctx512.pt
Model parameters: 7,222,272 (compiled)
Induction test: 100 seqs, half_len=256, vocab=5000
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Token indices sequence length is longer than the specified maximum sequence length for this model (1287 > 1024). Running this sequence through the model will result in indexing errors
  step 26300/101725  loss=4.9668  tokens=1.293B  elapsed=2617s
  step 26400/101725  loss=4.9377  tokens=1.298B  elapsed=2626s
  step 26500/101725  loss=5.0725  tokens=1.303B  elapsed=2634s
  step 26600/101725  loss=4.9187  tokens=1.307B  elapsed=2646s
  step 26700/101725  loss=4.9333  tokens=1.312B  elapsed=2656s
  step 26800/101725  loss=4.9913  tokens=1.317B  elapsed=2666s
  step 26900/101725  loss=5.0310  tokens=1.322B  elapsed=2676s
  step 27000/101725  loss=4.9175  tokens=1.327B  elapsed=2687s
  step 27100/101725  loss=4.9165  tokens=1.332B  elapsed=2696s
  step 27200/101725  loss=4.9352  tokens=1.337B  elapsed=2704s
  step 27300/101725  loss=4.8545  tokens=1.342B  elapsed=2715s
  step 27400/101725  loss=5.0399  tokens=1.347B  elapsed=2722s
  step 27500/101725  loss=5.1002  tokens=1.352B  elapsed=2732s

  [step 27500, 1.35B tokens] induction_score=0.0126 1st=10.0267 2nd=10.0141 toy_acc=0.000275 (0.0275%)
  step 27600/101725  loss=5.0992  tokens=1.357B  elapsed=2741s
  step 27700/101725  loss=4.9783  tokens=1.362B  elapsed=2749s
  step 27800/101725  loss=4.9297  tokens=1.366B  elapsed=2758s
  step 27900/101725  loss=5.0968  tokens=1.371B  elapsed=2767s
  step 28000/101725  loss=5.0209  tokens=1.376B  elapsed=2776s
  step 28100/101725  loss=5.2942  tokens=1.381B  elapsed=2787s
